label,text
ask_equipment_total_only,Can I get the total number of mice?
ask_equipment_total_only,Can you list the total number of phones in all branches?
ask_equipment_total_only,Give me the total count of tablets
ask_equipment_total_only,Show total mice devices in inventory.
ask_equipment_total_only,What's the total inventory of lamps?
ask_equipment_total_only,How many headsets exist across the organization?
ask_equipment_total_only,Show me the total number of presentation remotes
ask_equipment_total_only,How many projectors exist across the organization?
ask_equipment_total_only,Tell me how many Ethernet cables are in stock
ask_equipment_total_only,Can I get the total number of phones?
ask_equipment_total_only,Can I get the total number of speakers?
ask_equipment_total_only,What's the total inventory of whiteboard markers?
ask_equipment_total_only,"Report the total USB drives inventory, please."
ask_equipment_total_only,Show total office chairs devices in inventory.
ask_equipment_total_only,What is the total stock of surge protectors?
ask_equipment_total_only,Give me the total count of air conditioners
ask_equipment_total_only,Show me the total number of laptops
ask_equipment_total_only,Give me the company-wide quantity of fans
ask_equipment_total_only,What's the total number of whiteboards?
ask_equipment_total_only,How many microphones are there company-wide?
ask_equipment_total_only,I want the total of tablets in the company
ask_equipment_total_only,Total count of desktop PCs company-wide?
ask_equipment_total_only,Could you list the total number of phones we have?
ask_equipment_total_only,Give me the company-wide quantity of keyboards
ask_equipment_total_only,Tell me the total quantity of projectors we have
ask_equipment_total_only,Tell me the total quantity of tablets we have
ask_equipment_total_only,Tell me how many phones are in stock
ask_equipment_total_only,How many power strips are there company-wide?
ask_equipment_total_only,What's the total inventory of routers?
ask_equipment_total_only,Could you list the total number of docking stations we have?
ask_equipment_total_only,Tell me the total quantity of filing cabinets we have
ask_equipment_total_only,Could you list the total number of power banks we have?
ask_equipment_total_only,Tell me how many tablets we have in all branches
ask_equipment_total_only,I want to know the total number of fans
ask_equipment_total_only,Can I get the total number of fans?
ask_equipment_total_only,Show me the total number of filing cabinets
ask_equipment_total_only,Give me the company-wide quantity of VR headsets
ask_equipment_total_only,I want the total of flip charts in the company
ask_equipment_total_only,Tell me the total quantity of air conditioners we have
ask_equipment_total_only,How many air conditioners are there company-wide?
ask_equipment_total_only,Give me the company-wide quantity of routers
ask_equipment_total_only,Show total refrigerators devices in inventory.
ask_equipment_total_only,Can I get the total number of USB drives?
ask_equipment_total_only,"Report the total refrigerators inventory, please."
ask_equipment_total_only,What's the total number of power banks?
ask_equipment_total_only,What is the total stock of generators?
ask_equipment_total_only,Total count of smartboards company-wide?
ask_equipment_total_only,What's the total inventory of AC units?
ask_equipment_total_only,Tell me how many webcams are in stock
ask_equipment_total_only,What's the total inventory of hole punchers?
ask_equipment_total_only,I want the total of mice in the company
ask_equipment_total_only,How many coffee machines are there company-wide?
ask_equipment_total_only,Give me the company-wide quantity of docking stations
ask_equipment_total_only,How many printers are there across the entire company?
ask_equipment_total_only,Could you list the total number of routers we have?
ask_equipment_total_only,Tell me how many power strips are in stock
ask_equipment_total_only,I want the total of phones in the company
ask_equipment_total_only,Tell me the total quantity of routers we have
ask_equipment_total_only,I want the total of surge protectors in the company
ask_equipment_total_only,Show me the total number of computers
ask_equipment_total_only,Tell me the total quantity of lamps we have
ask_equipment_total_only,Show total tables devices in inventory.
ask_equipment_total_only,I want to know the total number of webcams
ask_equipment_total_only,Show me the total number of desktop PCs
ask_equipment_total_only,Can I get the total number of lamps?
ask_equipment_total_only,Give me the total count of docking stations
ask_equipment_total_only,What is the total stock of laptops?
ask_equipment_total_only,Can I get the total number of laptops?
ask_equipment_total_only,Can you list the total number of desktop PCs in all branches?
ask_equipment_total_only,Can you list the total number of microphones in all branches?
ask_equipment_total_only,How many projectors are there across the entire company?
ask_equipment_total_only,"Report the total USB hubs inventory, please."
ask_equipment_total_only,"Report the total mice inventory, please."
ask_equipment_total_only,How many scanners exist across the organization?
ask_equipment_total_only,Tell me how many extension cords we have in all branches
ask_equipment_total_only,Show total whiteboards devices in inventory.
ask_equipment_total_only,How many refrigerators are there company-wide?
ask_equipment_total_only,Tell me the total quantity of smartboards we have
ask_equipment_total_only,Show total HDMI adapters devices in inventory.
ask_equipment_total_only,Tell me the total quantity of desks we have
ask_equipment_total_only,"Report the total smartboards inventory, please."
ask_equipment_total_only,What's the total number of docking stations?
ask_equipment_total_only,Tell me how many glue sticks we have in all branches
ask_equipment_total_only,Tell me how many staplers are in stock
ask_equipment_total_only,How many routers are there company-wide?
ask_equipment_total_only,Tell me the total quantity of phones we have
ask_equipment_total_only,Can you list the total number of pens in all branches?
ask_equipment_total_only,Total count of USB sticks company-wide?
ask_equipment_total_only,How many filing cabinets are there across the entire company?
ask_equipment_total_only,Show me the total number of projectors
ask_equipment_total_only,Tell me how many HDMI adapters we have in all branches
ask_equipment_total_only,Show total ladders devices in inventory.
ask_equipment_total_only,Give me the total count of couches
ask_equipment_total_only,What's the total number of computers?
ask_equipment_total_only,How many office chairs exist across the organization?
ask_equipment_total_only,Total count of power banks company-wide?
ask_equipment_total_only,Could you list the total number of headsets we have?
ask_equipment_total_only,Show total power banks devices in inventory.
ask_equipment_total_only,I want the total of chairs in the company
ask_equipment_total_only,Total count of desks company-wide?
ask_equipment_total_only,Can you list the total number of phone chargers in all branches?
ask_equipment_total_only,How many filing cabinets exist across the organization?
ask_equipment_total_only,Can I get the total number of headsets?
ask_equipment_total_only,Tell me how many microphones we have in all branches
ask_equipment_total_only,Give me the company-wide quantity of AC units
ask_equipment_total_only,How many headsets are there across the entire company?
ask_equipment_total_only,"Report the total speakers inventory, please."
ask_equipment_total_only,I want to know the total number of VR headsets
ask_equipment_total_only,How many surge protectors are there across the entire company?
ask_equipment_total_only,Give me the total count of laptops
ask_equipment_total_only,Show me the total number of whiteboard markers
ask_equipment_total_only,I want the total of coffee machines in the company
ask_equipment_total_only,I want to know the total number of microwave ovens
ask_equipment_total_only,How many routers exist across the organization?
ask_equipment_total_only,Give me the company-wide quantity of whiteboard markers
ask_equipment_total_only,What's the total inventory of flip charts?
ask_equipment_total_only,Can I get the total number of routers?
ask_equipment_total_only,Show me the total number of phone chargers
ask_equipment_total_only,Show total hole punchers devices in inventory.
ask_equipment_total_only,What's the total inventory of filing cabinets?
ask_equipment_total_only,I want the total of pens in the company
ask_equipment_total_only,Could you list the total number of USB hubs we have?
ask_equipment_total_only,Can I get the total number of coffee machines?
ask_equipment_total_only,Give me the total count of extension cords
ask_equipment_total_only,Can I get the total number of VR headsets?
ask_equipment_total_only,What is the total stock of phone chargers?
ask_equipment_total_only,What is the total stock of computers?
ask_equipment_total_only,Give me the company-wide quantity of whiteboards
ask_equipment_total_only,Can you list the total number of whiteboard markers in all branches?
ask_equipment_total_only,How many whiteboard markers are there company-wide?
ask_equipment_total_only,Tell me how many surge protectors we have in all branches
ask_equipment_total_only,Show total pens devices in inventory.
ask_equipment_total_only,What's the total inventory of docking stations?
ask_equipment_total_only,Can I get the total number of HDMI adapters?
ask_equipment_total_only,Tell me how many USB drives we have in all branches
ask_equipment_total_only,Can I get the total number of projectors?
ask_equipment_total_only,Show me the total number of tablets
ask_equipment_total_only,Total count of pens company-wide?
ask_equipment_total_only,Show total laptops devices in inventory.
ask_equipment_total_only,I want the total of HDMI adapters in the company
ask_equipment_total_only,Give me the total count of HDMI adapters
ask_equipment_total_only,Tell me how many monitors are in stock
ask_equipment_total_only,How many flip charts are there company-wide?
ask_equipment_total_only,Could you list the total number of fans we have?
ask_equipment_total_only,Can I get the total number of scanners?
ask_equipment_total_only,Tell me the total quantity of USB drives we have
ask_equipment_total_only,Give me the total count of generators
